Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
-4026,,,,,,,,,Creation of Adam,Gen. 2:7,https://assetsnffrgf-a.akamaihd.net/assets/m/1102005136/univ/art/1102005136_univ_cnt_3_xl.jpg,,,,,Persons,
-4026,,,,,,,,After 4026 BCE,Edenic covenant <br>First prophecy,Gen. 3:15,https://wol.jw.org/isg/wol/mp/r397/lp-isg/nwt/2013/46,,,,,Covenants,
-3896,,,,,,,,Before 3896 BCE,Cain slays Abel,Gen. 4:8,https://assetsnffrgf-a.akamaihd.net/assets/m/1102016014/univ/art/1102016014_univ_cnt_2_xl.jpg,,,,,Events,
-3896,,,,,,,,,Birth of Seth,Gen. 5:3,,,,,,Persons,
-3404,,,,,,,,,Birth of Enoch,Gen. 5:18,https://assetsnffrgf-a.akamaihd.net/assets/m/2017010/univ/art/2017010_univ_cnt_3_xl.jpg,,,,,Persons,
-3339,,,,,,,,,Birth of Methuselah,,,,,,,Persons,
-3152,,,,,,,,,Birth of Lamech,Gen. 5:25,,,,,,Persons,
-3096,,,,,,,,,Death of Adam,,https://assetsnffrgf-a.akamaihd.net/assets/m/2019167/univ/art/2019167_univ_lsr_xl.jpg,,,,,Persons,
-3039,,,,,,,,,Death of Enoch,,https://assetsnffrgf-a.akamaihd.net/assets/m/2017010/univ/art/2017010_univ_cnt_4_xl.jpg,,,,,Persons,
-2970,,,,,,,,,Birth of Noah,"Gen. 5:28, 29",,,,,,Persons,
-2490,,,,,,,,,God’s pronouncement as to mankind,Gen. 6:3,,,,,,Events,
-2470,,,,,,,,,Birth of Japheth,Gen. 5:32; 9:24; 10:21,,,,,,Persons,
-2468,,,,,,,,,Birth of Shem,Gen. 7:11,,,,,,Persons,
-2370,9,,,,,,,,Flood,(in autumn),https://wol.jw.org/en/wol/mp/r1/lp-e/w13/2013/635,,,,,Events,
-2370,,,,,,,,,Death of Methuselah,,,,,,,Persons,
